artifact_id	scenario_id	artifact_role	file_path	source_script	command	input_paths	generated_at	formal_status	notes
S1_tree	S1_MFP_KDOPS	treefile	results/04_phylogeny_asr/CoreTree_rooted_MFP.treefile	iqtree2	iqtree -s results/04_phylogeny_asr/core_with_outgroup.afa -m MFP -bb 1000 -T 20 --prefix results/04_phylogeny_asr/CoreTree_rooted_MFP	results/04_phylogeny_asr/core_with_outgroup.afa	2026-03-12 12:08:17	formal	Primary MFP rooted tree.
S1_summary	S1_MFP_KDOPS	summary	results/04_phylogeny_asr/CoreTree_rooted_MFP.iqtree	iqtree2	iqtree -s results/04_phylogeny_asr/core_with_outgroup.afa -m MFP -bb 1000 -T 20 --prefix results/04_phylogeny_asr/CoreTree_rooted_MFP	results/04_phylogeny_asr/core_with_outgroup.afa	2026-03-12 12:08:25	formal	IQ-TREE summary file.
S1_log	S1_MFP_KDOPS	log	results/04_phylogeny_asr/CoreTree_rooted_MFP.log	iqtree2	iqtree -s results/04_phylogeny_asr/core_with_outgroup.afa -m MFP -bb 1000 -T 20 --prefix results/04_phylogeny_asr/CoreTree_rooted_MFP	results/04_phylogeny_asr/core_with_outgroup.afa	2026-03-12 12:08:28	formal	IQ-TREE runtime log.
S2_tree	S2_LGC20_KDOPS	treefile	results/04_phylogeny_asr/CoreTree_rooted_LGC20.treefile	iqtree2	iqtree -s results/04_phylogeny_asr/core_with_outgroup.afa -m LG+C20+F+G -bb 1000 -T 20 --prefix results/04_phylogeny_asr/CoreTree_rooted_LGC20	results/04_phylogeny_asr/core_with_outgroup.afa	2026-04-05 05:52:17	formal	Alternative site-heterogeneous rooted tree.
S2_summary	S2_LGC20_KDOPS	summary	results/04_phylogeny_asr/CoreTree_rooted_LGC20.iqtree	iqtree2	iqtree -s results/04_phylogeny_asr/core_with_outgroup.afa -m LG+C20+F+G -bb 1000 -T 20 --prefix results/04_phylogeny_asr/CoreTree_rooted_LGC20	results/04_phylogeny_asr/core_with_outgroup.afa	2026-04-05 05:52:25	formal	IQ-TREE summary file.
S2_log	S2_LGC20_KDOPS	log	results/04_phylogeny_asr/CoreTree_rooted_LGC20.log	iqtree2	iqtree -s results/04_phylogeny_asr/core_with_outgroup.afa -m LG+C20+F+G -bb 1000 -T 20 --prefix results/04_phylogeny_asr/CoreTree_rooted_LGC20	results/04_phylogeny_asr/core_with_outgroup.afa	2026-04-05 05:52:29	formal	IQ-TREE runtime log.
S3_tree	S3_MIDPOINT_INGROUP	treefile	results/04_phylogeny_asr/CoreTree_rooted_midpoint_ingroup.treefile	scripts/root_ingroup_tree.py	python scripts/root_ingroup_tree.py --input results/04_phylogeny_asr/CoreTree_rooted_ingroup.treefile --outdir results/04_phylogeny_asr --midpoint-only	results/04_phylogeny_asr/CoreTree_rooted_ingroup.treefile	2026-03-18 15:36:30	formal	Midpoint tree preserved from original run.
S3_summary	S3_MIDPOINT_INGROUP	summary	results/04_phylogeny_asr/CoreTree_rooted_S3_midpoint.summary.txt	scripts/root_ingroup_tree.py	python scripts/root_ingroup_tree.py --input results/04_phylogeny_asr/CoreTree_rooted_ingroup.treefile --outdir results/04_phylogeny_asr --midpoint-only	results/04_phylogeny_asr/CoreTree_rooted_ingroup.treefile	2026-04-10 00:00:00	formal	Recovered during provenance repair.
S3_log	S3_MIDPOINT_INGROUP	log	results/04_phylogeny_asr/CoreTree_rooted_S3_midpoint.log	scripts/root_ingroup_tree.py	python scripts/root_ingroup_tree.py --input results/04_phylogeny_asr/CoreTree_rooted_ingroup.treefile --outdir results/04_phylogeny_asr --midpoint-only	results/04_phylogeny_asr/CoreTree_rooted_ingroup.treefile	2026-04-10 00:00:00	formal	Recovered during provenance repair.
S4A_tree	S4A_TOP500_PROXY	treefile	results/04_phylogeny_asr/CoreTree_rooted_S4a_top500.treefile	scripts/mad_root_ete3.py	python scripts/mad_root_ete3.py --input results/04_phylogeny_asr/CoreTree_rooted_ingroup.treefile --output results/04_phylogeny_asr/CoreTree_rooted_S4a_top500.treefile --max-eval 500	results/04_phylogeny_asr/CoreTree_rooted_ingroup.treefile	2026-03-18 16:06:05	provisional	Top-500 reroot proxy retained as explicit tie branch.
S4A_summary	S4A_TOP500_PROXY	summary	results/04_phylogeny_asr/CoreTree_rooted_S4a_top500.summary.txt	scripts/mad_root_ete3.py	python scripts/mad_root_ete3.py --input results/04_phylogeny_asr/CoreTree_rooted_ingroup.treefile --output results/04_phylogeny_asr/CoreTree_rooted_S4a_top500.treefile --max-eval 500	results/04_phylogeny_asr/CoreTree_rooted_ingroup.treefile	2026-04-10 00:00:00	provisional	Rewritten during provenance repair to synchronize with explicit S4a naming.
S4A_log	S4A_TOP500_PROXY	log	results/04_phylogeny_asr/CoreTree_rooted_S4a_top500.log	scripts/mad_root_ete3.py	python scripts/mad_root_ete3.py --input results/04_phylogeny_asr/CoreTree_rooted_ingroup.treefile --output results/04_phylogeny_asr/CoreTree_rooted_S4a_top500.treefile --max-eval 500	results/04_phylogeny_asr/CoreTree_rooted_ingroup.treefile	2026-03-18 16:06:05	provisional	Copied from preserved top-500 runtime log.
S4B_tree	S4B_FULLSEARCH_PROXY	treefile	results/04_phylogeny_asr/CoreTree_rooted_S4b_fullsearch.treefile	scripts/mad_root_fast.py	python scripts/mad_root_fast.py --input results/04_phylogeny_asr/CoreTree_rooted_ingroup.treefile --output results/04_phylogeny_asr/CoreTree_rooted_S4b_fullsearch.treefile	results/04_phylogeny_asr/CoreTree_rooted_ingroup.treefile	2026-03-18 16:48:32	provisional	Full-search reroot proxy retained as explicit tie branch.
